"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CYB5R1",5.11325205906194e-56,0.259922180743103,0.349,0.194,8.10859511526042e-52
"LAMC2",6.03005933615103e-56,-0.63821207086076,0.045,0.169,9.56246809526831e-52
"EHD4",6.36778458752306e-56,-0.256803486091211,0.04,0.163,1.00980327988941e-51
"BTG1",7.43227790316299e-56,-0.423629707896918,0.545,0.692,1.17861062988359e-51
"SPCS1",9.07727817018735e-56,0.34944878478982,0.679,0.531,1.43947477222831e-51
"XBP1",1.07882585558944e-55,0.410821411596866,0.791,0.672,1.71080204179373e-51
"REG1A",2.54991808200945e-55,-5.0760215039403,0.509,0.598,4.04366009445058e-51
"GABARAPL2",4.45988005734971e-55,0.283248532708016,0.651,0.479,7.07247779494517e-51
"SOD1",4.85931933012533e-55,0.300158142780585,0.793,0.639,7.70590859371275e-51
"TMEM8A",7.232343352162e-55,-0.278520083311197,0.166,0.328,1.14690500878585e-50
"TMED7",9.93056018998075e-55,0.322761867032049,0.517,0.352,1.57478823492715e-50
"RND1",1.04529470420004e-54,-0.310557224279386,0.012,0.115,1.65762834192043e-50
"GOLGA2",1.11042541628017e-54,0.319216492094317,0.498,0.332,1.7609126251371e-50
"PCDH17",1.48774803201285e-54,0.274261887322452,0.478,0.296,2.35927082916598e-50
"CXXC5",2.20579791376564e-54,0.333651451883467,0.65,0.486,3.49795433164955e-50
"SPHK1",4.61551088960159e-54,-0.282873321627099,0.024,0.135,7.3192771687302e-50
"SEC24D",4.70525826340519e-54,0.332674292757536,0.45,0.29,7.46159855410796e-50
"SNRPB",6.99787463836378e-54,-0.395186938663984,0.455,0.597,1.10972296015173e-49
"BCL3",8.43622719755244e-54,-0.337852161141933,0.166,0.322,1.33781690898787e-49
"B4GALT5",8.93620452010575e-54,-0.304154093693852,0.09,0.23,1.41710331279837e-49
"ARF4",1.00161069228567e-53,0.357514780377152,0.66,0.51,1.58835423582661e-49
"JAG1",1.01697207502175e-53,-0.251688763147808,0.008,0.105,1.6127143165695e-49
