"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ABI3",0,0.806953783436671,0.427,0.004,0
"ACKR3",0,1.64995262508294,0.484,0.01,0
"ACVRL1",0,2.17262738351002,0.866,0.011,0
"ADAMTS4",0,1.76647420113919,0.724,0.036,0
"ADGRF5",0,1.48143549714282,0.659,0.012,0
"ADGRL4",0,1.49921613205984,0.671,0.001,0
"AFAP1L1",0,0.553868773479382,0.268,0.002,0
"ANGPT2",0,2.01314457997283,0.606,0.005,0
"ARHGAP31",0,0.869985910328008,0.447,0.017,0
"BCL6B",0,1.14816407351009,0.496,0.001,0
"CALCRL",0,0.773083355656637,0.402,0.001,0
"CD34",0,0.74190745977346,0.272,0.001,0
"CD93",0,2.61620698871669,0.919,0.006,0
"CDH5",0,1.05397178877861,0.492,0,0
"CLDN5",0,1.8967931392634,0.622,0.004,0
"CLEC14A",0,0.964607827290563,0.427,0.002,0
"COL13A1",0,1.05400307595733,0.341,0.006,0
"COL4A1",0,2.44670541464493,0.874,0.058,0
"CXCR4",0,2.6329897701479,0.74,0.021,0
"CXorf36",0,0.328601887522408,0.191,0,0
"CYP1A1",0,2.85604638907858,0.748,0.03,0
"DLL4",0,0.954436427399045,0.427,0.008,0
"DYSF",0,1.08192888296606,0.565,0.002,0
"ECSCR",0,1.16723512415872,0.634,0.001,0
"EMCN",0,0.698570933295245,0.272,0.002,0
"EMP1",0,1.66771072437308,0.736,0.043,0
"ENG",0,3.73366559909819,0.976,0.066,0
"ERG",0,1.12444808496788,0.573,0.003,0
"ESAM",0,2.27504712615509,0.858,0.015,0
"ESM1",0,2.2206660898622,0.715,0.003,0
"EXOC3L2",0,0.405693727554879,0.207,0,0
"FAM101B",0,1.28798262,0.561,0.028,0
"FAM167B",0,0.618362331663271,0.346,0.008,0
"FAM198B",0,0.940355124380695,0.443,0.015,0
"FAM43A",0,1.63980082507804,0.634,0.02,0
"FCN3",0,1.23566224171912,0.337,0.001,0
"FGD5",0,0.4156208559493,0.244,0.002,0
"FLT1",0,2.75430212368524,0.87,0.004,0
"FLT4",0,0.564760213522498,0.309,0,0
"FSCN1",0,1.71763910518877,0.671,0.034,0
"FZD4",0,0.805992603693024,0.398,0.014,0
"GIMAP4",0,0.453001424583412,0.232,0.002,0
"GIMAP6",0,0.34219452670324,0.207,0,0
"GMFG",0,1.15816202157175,0.512,0.015,0
"GPR4",0,0.987297961432847,0.492,0.011,0
"GRAP",0,0.504715323032954,0.289,0.003,0
"HLX",0,0.741854491406153,0.358,0.007,0
"HSPG2",0,2.49497799899816,0.886,0.099,0
"HTRA1",0,1.97159518918731,0.728,0.067,0
"IFI27",0,1.52662809813257,0.667,0.01,0
"IL3RA",0,1.1242823358866,0.484,0.003,0
"INHBB",0,0.623878494727125,0.252,0.002,0
"ITGA5",0,2.37767900645963,0.874,0.11,0
"KANK3",0,0.643543226763855,0.333,0.004,0
"KDR",0,2.13905935909331,0.797,0.001,0
"LAMA4",0,1.42492260023327,0.614,0.027,0
"LYL1",0,0.435653595989522,0.248,0.003,0
"MCAM",0,1.53739400657977,0.642,0.021,0
"MEF2C",0,0.752631442499623,0.398,0.011,0
"MMRN2",0,0.580007795346654,0.329,0.001,0
"MYCT1",0,0.478683829337415,0.268,0,0
"NKX2.3",0,1.01454368020008,0.346,0.002,0
"NOTCH1",0,1.14812551020245,0.589,0.037,0
"NOTCH4",0,1.25820028536702,0.581,0.01,0
"NRP2",0,1.56309772325444,0.646,0.046,0
"P2RY6",0,0.454556518496243,0.248,0.002,0
"PASK",0,2.53110134130111,0.679,0.013,0
"PCAT19",0,1.83762056796878,0.78,0.002,0
"PCDH12",0,0.690647506939826,0.366,0.002,0
"PECAM1",0,3.07661060568843,0.931,0.008,0
"PGF",0,1.23597832634119,0.451,0.017,0
"PLVAP",0,4.46987125744427,0.972,0.01,0
"PODXL",0,2.89196714977255,0.898,0.031,0
"PPAP2B",0,2.69136741673755,0.805,0.07,0
"PRDM1",0,1.26843446394146,0.524,0.013,0
"PTPRB",0,0.9363201315759,0.476,0.003,0
"PXDN",0,2.74927700630306,0.911,0.062,0
"RASIP1",0,0.718387069654902,0.415,0.014,0
"RGCC",0,3.51248639105664,0.886,0.023,0
"RHOJ",0,0.62644564824406,0.337,0.005,0
"ROBO4",0,1.59843875284548,0.732,0.001,0
"S1PR1",0,1.31203795744991,0.63,0.003,0
"SEMA3F",0,1.54999264318826,0.646,0.006,0
"SEMA3G",0,0.435824206360903,0.195,0.001,0
"SERPINE1",0,3.00581027114457,0.809,0.067,0
"SMAD6",0,1.27911296738316,0.476,0.019,0
"SOX17",0,0.439111225064293,0.232,0.001,0
"SOX18",0,2.46503726669934,0.805,0.002,0
"SOX7",0,0.641354802293452,0.317,0.003,0
"SPARC",0,2.25285140926604,0.923,0.066,0
"SPARCL1",0,0.821810053121315,0.354,0.007,0
"STC1",0,3.07632321717236,0.878,0.045,0
"TCF4",0,1.97447921573052,0.87,0.098,0
"TEK",0,0.39716216961331,0.211,0,0
"TIE1",0,1.74125674241443,0.732,0.003,0
"TMEM173",0,1.27697469900868,0.61,0.04,0
"TMEM204",0,0.725884459792496,0.374,0.012,0
"TMEM255B",0,0.807297609711151,0.423,0.007,0
"TNFRSF4",0,0.667643860471955,0.293,0.001,0
"VWF",0,2.06089604196472,0.667,0.003,0
"ANGPTL2",4.66503387864419e-288,1.43516843149137,0.663,0.058,7.39781072475396e-284
"GNG11",2.80961611239129e-287,0.646766686420754,0.378,0.014,4.4554892310301e-283
"PDE2A",1.59420538865941e-285,0.670170404706752,0.333,0.01,2.52809090533609e-281
"P2RY8",4.4409259585402e-284,0.337563077971594,0.171,0,7.04242038505305e-280
"RAMP3",7.1959729146038e-258,0.356939279481288,0.199,0.002,1.14113738479787e-253
"IGFBP4",2.0354351244581e-254,1.6929748359575,0.878,0.119,3.22779302036566e-250
"NOS3",2.70921931685038e-248,0.336660989857229,0.215,0.003,4.29627999266133e-244
"RAMP2",1.28781905273634e-247,1.127008391056,0.5,0.037,2.04222345382929e-243
"DCHS1",7.44507791202834e-246,0.792349422030894,0.419,0.024,1.18064045528945e-241
"LRRC32",1.4854403842318e-245,1.12819491815031,0.459,0.029,2.35561136131479e-241
"TM4SF18",3.42101778367793e-242,0.374222788646495,0.207,0.003,5.42505000135646e-238
"ITM2A",2.97181951980146e-241,0.423711645070643,0.232,0.005,4.71271139450115e-237
"TNFAIP8L1",5.05430583961117e-241,0.644566595125717,0.297,0.01,8.0151182004554e-237
"EGFL7",6.189270405381e-238,2.12352315996294,0.87,0.153,9.8149450088532e-234
"LRRC8C",3.49348145201364e-236,0.666074260823974,0.337,0.015,5.53996288660324e-232
"KLF2",1.35588962631997e-232,1.5417012887508,0.569,0.052,2.15016976941821e-228
"SNAI1",1.75042243971003e-229,0.790499261743574,0.427,0.027,2.77581990489216e-225
"PPP1R16B",3.29138476243049e-229,0.352885100601338,0.175,0.002,5.21947795626227e-225
"ETS1",9.81234588790712e-228,1.98025377405636,0.882,0.168,1.55604181090431e-223
"THBS1",1.70466806598351e-227,2.06202239036696,0.606,0.062,2.70326261903665e-223
"WWTR1",8.31743829486989e-226,1.23901954641034,0.667,0.078,1.31897936480047e-221
"SRGN",5.36406823520312e-225,0.977576617016296,0.407,0.024,8.50633940738511e-221
"HOXB6",6.75020513271362e-223,0.388005461170585,0.236,0.006,1.07044752994573e-218
"NES",9.9146157086043e-223,0.756447589836874,0.394,0.023,1.57225975907047e-218
"LAYN",2.06397408622755e-220,0.348741902709919,0.22,0.005,3.27305010593966e-216
"GIMAP7",1.84245671199281e-214,0.358668507832734,0.159,0.002,2.9217678538782e-210
"CLIC4",3.72452327056453e-214,1.82730469446083,0.78,0.129,5.90634900246122e-210
"MFNG",2.96717144157471e-213,0.325313559597415,0.211,0.005,4.70534047204917e-209
"PTRF",4.4156955100227e-212,1.28024389891952,0.618,0.069,7.002409939794e-208
