"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ADAMDEC1",0,1.13064585511153,0.375,0,0
"ADORA3",0,0.700269619096989,0.273,0,0
"AIF1",0,0.955022720043432,0.409,0.002,0
"ALOX5AP",0,2.26186978936503,0.75,0.003,0
"AMICA1",0,0.594660544501459,0.239,0.001,0
"APOBR",0,0.410252825068413,0.216,0,0
"ARHGAP30",0,0.581903782174233,0.33,0.002,0
"ATP6V0D2",0,0.446778701093527,0.205,0,0
"C1QA",0,2.19707977548871,0.432,0.001,0
"C1QB",0,2.38002976501556,0.477,0.001,0
"C1QC",0,2.74462928863368,0.523,0,0
"C1orf162",0,0.754134195595488,0.398,0.004,0
"C3AR1",0,0.410422863967884,0.216,0,0
"CCL3",0,1.68268082945578,0.398,0.002,0
"CCR1",0,0.689635224989691,0.284,0,0
"CD163",0,0.879738108369633,0.295,0,0
"CD180",0,0.459431618637297,0.205,0,0
"CD300A",0,1.54415306448201,0.602,0.001,0
"CD300LB",0,0.398549376490275,0.239,0,0
"CD37",0,1.34789986636074,0.489,0.003,0
"CD48",0,0.668831104742592,0.341,0.001,0
"CD53",0,1.9213837140758,0.716,0.001,0
"CD84",0,0.482402610824248,0.25,0,0
"CD86",0,0.669511220272401,0.318,0,0
"CLEC7A",0,0.493574419387145,0.227,0.001,0
"CORO1A",0,1.1260677510049,0.477,0.004,0
"CSF1R",0,1.31348545361083,0.466,0.001,0
"CSF3R",0,0.360747343777891,0.193,0,0
"CYBB",0,1.00681370031051,0.386,0.001,0
"DOCK2",0,0.516998010124214,0.318,0,0
"DOK2",0,0.562596016355889,0.261,0,0
"EVI2B",0,0.57348114592193,0.273,0,0
"FCER1G",0,2.49155945703177,0.727,0.003,0
"FCGR2A",0,1.4891619855202,0.364,0.004,0
"FCGR2B",0,0.360747343777891,0.182,0,0
"FGL2",0,1.23913811215075,0.42,0.001,0
"FPR3",0,0.897950286936683,0.33,0,0
"FYB",0,0.858419624251649,0.364,0.002,0
"GPSM3",0,0.98258430779581,0.511,0.01,0
"HCK",0,1.15549325246071,0.443,0.001,0
"HLA.DMB",0,1.49736493937601,0.477,0.005,0
"HLA.DQA1",0,1.16754543792306,0.341,0.001,0
"IGSF6",0,0.410592922910839,0.227,0,0
"ITGAX",0,0.528572792257174,0.261,0,0
"ITGB2",0,1.81397360563945,0.545,0.002,0
"ITGB7",0,1.29974005028793,0.364,0.002,0
"LAIR1",0,0.637920188445535,0.318,0,0
"LAPTM5",0,3.86231040280629,0.955,0.009,0
"LCP1",0,2.04682366636503,0.727,0.01,0
"LILRB4",0,0.529082969090765,0.284,0,0
"LRRC25",0,0.606487472776372,0.307,0,0
"LSP1",0,1.95649362197499,0.591,0.006,0
"LST1",0,0.616363684848456,0.273,0.001,0
"MPEG1",0,1.51699801012421,0.398,0.001,0
"MS4A2",0,0.710153204769747,0.193,0,0
"MS4A4A",0,0.550605364423524,0.295,0.001,0
"MS4A6A",0,0.57382128385605,0.25,0,0
"MS4A7",0,1.22604861498084,0.364,0,0
"MYO1F",0,0.886407575832826,0.489,0.002,0
"MYO1G",0,0.504312799950218,0.284,0.001,0
"NCF4",0,0.823760875429881,0.432,0.002,0
"NCKAP1L",0,0.931015816788417,0.511,0.001,0
"OSM",0,1.13980094767214,0.216,0,0
"PIK3R5",0,0.669341161329446,0.33,0,0
"PLA2G7",0,1.52840277339646,0.398,0,0
"PLEK",0,0.481722655566751,0.25,0.001,0
"PRKCB",0,0.698229993346022,0.375,0.002,0
"PTPRC",0,0.876171913173895,0.5,0.003,0
"RGS1",0,2.73982668171594,0.773,0.004,0
"RHOH",0,0.421851199589353,0.261,0.001,0
"RNASE6",0,0.398549376490275,0.182,0,0
"RUNX3",0,1.45725530709241,0.614,0.006,0
"S100A4",0,1.36847107578676,0.614,0.015,0
"S100A8",0,0.98113231369218,0.273,0.001,0
"SAMSN1",0,1.14747435274776,0.489,0.005,0
"SASH3",0,0.562085899652752,0.341,0.001,0
"SDS",0,3.28621184870034,0.545,0.002,0
"SLA",0,0.98215164607624,0.386,0.001,0
"SLAMF7",0,0.758716608259787,0.33,0.001,0
"SLC37A2",0,0.504992434889598,0.261,0.001,0
"SLCO2B1",0,0.895571003728964,0.42,0.002,0
"SPI1",0,1.96004476903652,0.682,0.004,0
"SRGN",0,3.17305294046872,0.909,0.026,0
"STAB1",0,1.33404136184374,0.443,0.007,0
"TNFRSF1B",0,1.60367052676895,0.523,0.007,0
"TPSAB1",0,2.82606294810539,0.284,0.001,0
"TPSB2",0,2.53225702370938,0.284,0.001,0
"TYROBP",0,3.24712834398862,0.807,0.002,0
"VMO1",0,1.03447270254595,0.375,0.004,0
"VSIG4",0,1.68403635183215,0.352,0.001,0
"WAS",0,0.796256135429572,0.409,0.001,0
"TNFAIP8L2",2.01853682617067e-304,0.372948158549221,0.193,0,3.20099569894145e-300
"EVI2A",1.30963024262349e-303,0.372438101962367,0.216,0.001,2.07681163875234e-299
"GPR183",4.15751761272721e-298,1.24853355303082,0.341,0.004,6.59299143026281e-294
"CCR5",8.22100634881476e-297,0.321757995843259,0.17,0,1.30368718679504e-292
"DOK3",2.39422367311e-289,0.320397924999293,0.227,0.001,3.79675990081783e-285
"SLC15A3",3.5232188265971e-288,1.21462423998658,0.489,0.011,5.58712041521768e-284
"CPA3",2.79041610197975e-284,1.73023096834177,0.261,0.002,4.42504185451949e-280
"CD209",8.7453624956208e-284,0.44609874583603,0.205,0.001,1.38683958455555e-279
"CLEC10A",6.67159879663099e-276,0.423041331680441,0.159,0,1.05798213716974e-271
"SEMA6B",1.10045522836377e-270,1.42116307123896,0.523,0.014,1.74510190113926e-266
"TBXAS1",3.07599366620572e-267,1.23756628453682,0.477,0.011,4.87791075586903e-263
"CD52",6.51308469370805e-264,1.15171035039107,0.239,0.002,1.03284497072822e-259
"HLA.DOA",1.37967263256283e-261,0.419813254519375,0.227,0.001,2.18788486071814e-257
"VAV1",1.97307488908715e-260,0.54704042810835,0.284,0.003,3.1289021591144e-256
"SCIMP",1.77696490789972e-258,0.33464406967754,0.159,0,2.81791095094738e-254
"MCEMP1",5.38302027835783e-255,0.410763001902004,0.148,0,8.53639355741984e-251
"LILRB5",5.61469002264059e-255,0.308582607095526,0.148,0,8.90377543790344e-251
"NKG7",8.34037453887272e-254,0.423211430724544,0.136,0,1.32261659437444e-249
"HLA.DRA",3.87354173013022e-253,3.71058224849003,0.591,0.02,6.14266247564051e-249
"CD22",4.57978674420969e-253,0.840950953334637,0.25,0.002,7.26262581896772e-249
"CYTIP",8.12221465431513e-253,0.581564324515987,0.25,0.002,1.28802079988129e-248
"C5AR1",9.09799715549326e-252,0.409233012320324,0.205,0.001,1.44276038891812e-247
"TFEC",1.12469943240518e-244,0.320907801322285,0.182,0.001,1.78354835990814e-240
"IKZF1",1.40558979394138e-244,0.307562433777196,0.182,0.001,2.22898429523223e-240
"ACP5",1.20442950824574e-236,4.85307980188818,0.682,0.031,1.90998431417609e-232
"HCLS1",1.54989466618312e-233,0.901421034600121,0.5,0.015,2.45782296163319e-229
"ARHGAP9",3.34018046063545e-233,0.359047255152108,0.193,0.001,5.2968581744757e-229
"CLEC5A",8.34502863382425e-233,0.28203536776385,0.125,0,1.32335464075185e-228
"FERMT3",6.26361837393111e-229,0.667754910437494,0.375,0.008,9.93284601737996e-225
"PTPN7",2.55362179153798e-225,0.372438101962367,0.17,0.001,4.04953343702093e-221
"ADAM28",1.58166346038231e-224,0.453998372094601,0.261,0.003,2.50820191547427e-220
"KRT1",8.75852416514446e-223,0.940257545282454,0.148,0,1.38892676210861e-218
"BTK",4.48303604832883e-222,0.538018999110881,0.216,0.002,7.10919856543985e-218
"GPR34",3.95025381632999e-217,0.334133952974404,0.159,0.001,6.26431250193611e-213
"HLA.DRB5",3.96133911230776e-209,1.19067514544268,0.341,0.007,6.28189156429764e-205
"CD1D",9.89913581226753e-209,0.433176419875576,0.193,0.001,1.56980495710938e-204
"APOE",3.54793340594307e-207,3.43348464604365,0.5,0.018,5.62631279514452e-203
"CCL3L3",2.43767429184594e-205,0.56906663487916,0.17,0.001,3.86566389200929e-201
"CCL4",1.47670388267309e-202,0.709813106927321,0.136,0,2.34175701714299e-198
"RGS10",1.22020017043603e-199,1.09296151645526,0.534,0.021,1.93499343027745e-195
"HLA.DQB1",2.07999044324571e-199,1.51634184615701,0.523,0.02,3.29844884489905e-195
"PDPN",2.19978756428841e-199,1.10990670407273,0.375,0.009,3.48842311944857e-195
"HPGDS",1.93489991101221e-197,0.316494848344666,0.148,0.001,3.06836427888316e-193
"SLAMF8",1.1580966614322e-196,0.320058107534316,0.17,0.001,1.83650968569918e-192
"HLA.DPA1",1.37492654739967e-194,1.98528342926412,0.523,0.021,2.1803585188664e-190
"SLC7A7",1.50760660762112e-185,0.970000639463157,0.42,0.013,2.39076255836558e-181
"HLA.DRB1",1.12074046174884e-184,2.76038702129981,0.58,0.029,1.7772702242413e-180
"S100A9",1.13069308996939e-183,1.83214172833838,0.33,0.008,1.79305310207346e-179
