"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"A2M",0,0.765017645665879,0.392,0.011,0
"ADAMTS12",0,1.17243150071447,0.468,0.002,0
"ADAMTS4",0,1.61763812136488,0.578,0.026,0
"ADCY3",0,1.37709073237055,0.523,0.022,0
"AEBP1",0,1.90758360471925,0.674,0.014,0
"ANO1",0,0.883297996605497,0.335,0.008,0
"AXL",0,0.675975418427125,0.347,0.009,0
"BASP1",0,1.2832940600419,0.551,0.015,0
"BGN",0,4.25423902785906,0.888,0.032,0
"BST2",0,0.936310050999941,0.496,0.032,0
"C11orf96",0,3.81126351298942,0.943,0.094,0
"C1S",0,1.21170430193296,0.623,0.053,0
"CALD1",0,1.99294021355279,0.839,0.128,0
"CAV1",0,1.42406785761951,0.538,0.036,0
"CD248",0,1.27352554173834,0.483,0.003,0
"CDH11",0,0.820801515578856,0.464,0.002,0
"CHSY1",0,1.04055624587244,0.517,0.034,0
"COL12A1",0,0.790643808764575,0.292,0.002,0
"COL15A1",0,2.44852493548804,0.672,0.017,0
"COL18A1",0,2.90798051011738,0.856,0.119,0
"COL1A1",0,5.71273393213566,0.805,0.057,0
"COL1A2",0,4.16825721358685,0.811,0.011,0
"COL3A1",0,4.3938555293104,0.816,0.011,0
"COL4A1",0,2.27493618441837,0.778,0.041,0
"COL5A1",0,2.20272868725415,0.581,0.009,0
"COL5A2",0,1.5799273105804,0.581,0.006,0
"COL5A3",0,1.72325461985924,0.608,0.005,0
"COL6A1",0,3.91676665998746,0.919,0.113,0
"COL6A2",0,4.17874399727112,0.934,0.041,0
"COL6A3",0,3.78492202356293,0.602,0.011,0
"COL7A1",0,0.705636237436652,0.292,0.004,0
"COL8A1",0,0.694607613185458,0.201,0,0
"CRISPLD2",0,1.8757336060967,0.703,0.009,0
"CRLF1",0,2.09287514028273,0.521,0.003,0
"CTHRC1",0,1.15306939758287,0.405,0.025,0
"CYBRD1",0,0.792465198609192,0.432,0.007,0
"CYGB",0,2.90244580285126,0.744,0.012,0
"DCN",0,1.2639513823493,0.479,0.003,0
"DDR2",0,1.0005931792281,0.519,0.015,0
"ECM1",0,0.574502115465348,0.331,0.008,0
"EDNRA",0,1.14682049648026,0.502,0.003,0
"EDNRB",0,1.19152195249516,0.475,0.007,0
"EMILIN1",0,1.60940393269406,0.665,0.007,0
"ENG",0,1.66166252176787,0.801,0.051,0
"F2R",0,0.732052299867659,0.341,0.013,0
"FBLN1",0,0.787413687745113,0.35,0.004,0
"FBN1",0,0.858413199716828,0.392,0.009,0
"FGF2",0,1.50367695116665,0.483,0.036,0
"FKBP10",0,1.63581356626201,0.695,0.051,0
"FMOD",0,1.89415925385482,0.513,0.009,0
"FN1",0,3.56792766887892,0.625,0.033,0
"FOXF2",0,0.527087273105871,0.297,0.001,0
"FSTL1",0,1.57166741524113,0.667,0.082,0
"GFPT2",0,0.874435489868521,0.371,0.01,0
"GGT5",0,0.861102250491301,0.458,0.003,0
"HEYL",0,1.02416257226926,0.468,0.014,0
"HIC1",0,1.13278866123467,0.523,0.026,0
"HSD11B1",0,0.58593010483556,0.25,0.001,0
"HTRA3",0,1.3919456600975,0.492,0.016,0
"IFITM1",0,1.88139907849872,0.712,0.074,0
"IFITM2",0,2.15809623239191,0.924,0.21,0
"IGFBP4",0,3.29761430505623,0.922,0.095,0
"IL11",0,2.62926856444375,0.432,0.017,0
"IL24",0,2.84987803144821,0.398,0.01,0
"IL6",0,1.7218403861561,0.244,0.003,0
"ITGA1",0,1.68773933905463,0.659,0.078,0
"ITGA11",0,0.469435113094126,0.199,0.001,0
"KANK2",0,0.645239300764679,0.398,0.026,0
"KCNE4",0,2.07248840779107,0.644,0.041,0
"KIRREL",0,0.599015505445922,0.362,0.018,0
"KLF9",0,1.62097184693863,0.718,0.072,0
"LAMA4",0,0.800489166863291,0.424,0.021,0
"LAMC3",0,1.27033569757727,0.508,0.004,0
"LGALS1",0,2.02090266717668,0.822,0.114,0
"LHFP",0,0.69682118466055,0.36,0.009,0
"LIF",0,2.26525923206032,0.595,0.06,0
"LOXL2",0,1.40480055207543,0.515,0.016,0
"LRP1",0,1.35062703782983,0.574,0.063,0
"LRRC32",0,1.11057288666852,0.485,0.016,0
"LTBP1",0,1.17880374509514,0.464,0.025,0
"LTBP2",0,0.661936973609168,0.288,0.001,0
"LUM",0,1.42313305156207,0.364,0.001,0
"MEDAG",0,1.3948140526444,0.345,0.009,0
"MFGE8",0,1.6330152347379,0.676,0.021,0
"MGP",0,1.13913040941213,0.322,0.01,0
"MICAL2",0,1.05824201012818,0.477,0.04,0
"MMP14",0,2.41081754267118,0.775,0.115,0
"MMP2",0,1.98309576641209,0.542,0.015,0
"MRC2",0,1.09680608424983,0.403,0.005,0
"MXRA8",0,1.02782751565342,0.436,0.002,0
"MYL9",0,1.09745515139191,0.564,0.03,0
"NDUFA4L2",0,1.56845836190195,0.464,0.012,0
"NID1",0,0.851629181739479,0.415,0.006,0
"NOTCH3",0,2.38981914272401,0.727,0.033,0
"OLFML2A",0,0.544428114735039,0.227,0.002,0
"PAG1",0,1.09258946897406,0.492,0.026,0
"PAMR1",0,0.740265668256417,0.328,0.002,0
"PCOLCE",0,0.790076859326654,0.388,0.019,0
"PDGFRA",0,0.617801301065258,0.282,0.002,0
"PDGFRB",0,3.02697801099315,0.888,0.009,0
"PHLDB1",0,0.835223226609852,0.475,0.041,0
"PI15",0,1.61096898936191,0.256,0.005,0
"PLAC9",0,0.409647990662914,0.22,0.003,0
"PLAT",0,1.23421286044627,0.534,0.017,0
"PLXDC1",0,0.400978503956048,0.191,0.001,0
"PRKCDBP",0,1.22301271935116,0.536,0.04,0
"PRRX1",0,1.08216381190594,0.496,0.004,0
"PTGDS",0,1.06536554120093,0.248,0.003,0
"PXDN",0,2.25600868422745,0.733,0.049,0
"RAB34",0,0.868983325164638,0.54,0.019,0
"RCN3",0,0.405745936292576,0.252,0.005,0
"RUNX1",0,1.12100218356591,0.608,0.053,0
"S1PR3",0,0.51556621210501,0.282,0.005,0
"SERPINE1",0,2.74719881260038,0.585,0.059,0
"SERPINH1",0,2.4914777209823,0.879,0.145,0
"SFRP2",0,2.52581944878865,0.487,0.003,0
"SMIM3",0,1.45512946665063,0.701,0.05,0
"SNAI2",0,0.954356564277368,0.381,0.019,0
"SPARC",0,3.57766991346221,0.907,0.043,0
"SPHK1",0,1.07544891628278,0.606,0.073,0
"SPON1",0,0.530051578480977,0.267,0.002,0
"SRPX2",0,0.716415209479599,0.396,0.005,0
