"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DPYSL3",0,0.813115632573133,0.459,0.051,0
"LEPR",0,0.968436606161241,0.419,0.023,0
"LY6H",0,0.733672359503026,0.39,0.015,0
"SST",7.42726461294602e-306,6.87460898123869,0.972,0.73,1.17781562232098e-301
"RBP4",2.90671112814302e-271,2.58108379349291,0.675,0.207,4.6094625070092e-267
"AQP3",4.73292326931533e-250,2.16047170314739,0.744,0.27,7.50546972048025e-246
"BCHE",2.46461052173613e-221,0.314816881878128,0.16,0.004,3.90837936536916e-217
"SEC11C",3.76361598423337e-206,1.33101289460949,0.861,0.488,5.96834222779728e-202
"ANXA2",2.18179872891601e-194,-1.99571080705003,0.286,0.771,3.45989642431501e-190
"CBLN4",1.21923297807421e-188,0.291272626571854,0.166,0.007,1.93345965663008e-184
"MS4A8",2.45996979615893e-183,0.329413997302214,0.208,0.017,3.90102010274883e-179
"PLEKHB1",1.77748780452424e-176,0.540272652596491,0.311,0.048,2.81874016041455e-172
"HHEX",7.54162533259878e-167,0.466557437668092,0.257,0.033,1.19595094524352e-162
"CARD11",1.13414488419593e-165,0.457543153819857,0.282,0.041,1.79852695735791e-161
"CHGB",3.80446412114824e-157,0.951170240768597,0.986,0.656,6.03311920331688e-153
"BAIAP3",7.7124691095276e-154,0.659727238369493,0.454,0.125,1.22304335138889e-149
"FRZB",2.18781330649047e-153,0.337497625660102,0.14,0.007,3.4694343414326e-149
"PCSK1",8.78199035416571e-145,1.20778816962654,0.724,0.306,1.3926480303636e-140
"NLRP1",4.44873169080231e-136,0.926234747007004,0.859,0.491,7.0547987152743e-132
"RPL10",1.33735885684327e-135,-0.950454823532717,0.998,0.999,2.12078367518206e-131
"FTL",1.21926000454591e-131,-1.10269960157378,0.989,0.998,1.9335025152089e-127
"RPS18",5.51061122127265e-128,-0.674244065241881,0.993,0.999,8.73872727469417e-124
"TMEM130",7.85323390937825e-126,0.262897110706101,0.166,0.017,1.2453658333492e-121
"PON3",9.1515207669792e-125,0.348498416240196,0.226,0.036,1.45124816322756e-120
"RGS2",1.48807357949823e-124,1.12563196775343,0.48,0.169,2.3597870823683e-120
"IDS",5.92371109783511e-124,0.78506257379319,0.926,0.641,9.39382105894692e-120
"MIR7.3HG",9.53158268413189e-122,0.628548312344265,0.499,0.177,1.51151838204964e-117
"BEX1",1.46494923408233e-121,0.764579387938908,0.868,0.517,2.32311649540777e-117
"MAP1B",2.92459744791353e-118,0.832513546135655,0.774,0.436,4.63782663290127e-114
"RPLP0",1.63730669554001e-117,-0.658388392808688,0.992,0.999,2.59644095778736e-113
"QDPR",2.4254120322489e-114,0.753822901258075,0.669,0.327,3.8462184007403e-110
"ISL1",8.19259469608874e-109,0.750868339637583,0.575,0.245,1.29918166690575e-104
"PEG10",4.89470839166954e-108,1.0472973106645,0.648,0.312,7.76202856750955e-104
"ARFGEF3",1.18583081155397e-106,0.762673580526086,0.67,0.334,1.88049050096228e-102
"RPL13A",2.65406338553998e-104,-0.509929986881183,1,1,4.20881371678931e-100
"DHRS2",2.80200808426953e-104,0.820102995990111,0.489,0.187,4.44342442003463e-100
"PCSK1N",9.27049926358635e-104,0.8322502467662,0.995,0.727,1.47011577321952e-99
"RPS2",1.51842172567427e-103,-0.621575275301335,0.998,0.999,2.40791317257426e-99
"RPL7A",2.22303007053512e-103,-0.497263195927157,1,1,3.52528108585459e-99
"PPY",3.39120186389234e-100,6.39201391739484,0.502,0.229,5.37776791576047e-96
"UCP2",5.95128730478101e-95,0.409803269896519,0.292,0.075,9.43755140792172e-91
"FGF14",8.90903564585744e-95,0.483802829235858,0.333,0.099,1.41279487272007e-90
"MLPH",4.63224214316675e-94,0.295439902262686,0.171,0.027,7.34580959063383e-90
"IFITM3",5.43703042278763e-94,-2.07114527155057,0.061,0.406,8.62204284445662e-90
"TMSB10",1.38284466873901e-92,-1.75972759700959,0.441,0.71,2.19291507568632e-88
"GABRB3",2.17622467099476e-92,0.547740913284369,0.468,0.187,3.45105708326349e-88
"PCP4",2.02896446011411e-91,0.79327238187016,0.613,0.3,3.21753184084895e-87
"DIRAS3",2.85556144739466e-90,0.430739247441274,0.292,0.079,4.52834934327846e-86
"NPW",3.5754846973857e-89,0.277548419027186,0.144,0.019,5.67000363311425e-85
"ETV1",1.02850178381797e-88,0.43904012276636,0.33,0.1,1.63099812877854e-84
"RPL36A",1.05661481246662e-88,-0.641325271717162,0.961,0.985,1.67557976960957e-84
"TAGLN2",1.85090406072127e-88,-0.801558840250413,0.842,0.933,2.93516365949179e-84
"RPS19",1.85178125734584e-87,-0.62417994238665,0.99,0.996,2.93655471789904e-83
"RPL18A",7.13666931481703e-85,-0.62726142774034,0.981,0.994,1.13173301994369e-80
"RPL41",8.82474362711109e-85,-0.463735205662474,1,1,1.39942784438728e-80
"GAPDH",2.17798197754275e-83,-0.862860432222344,0.995,0.992,3.45384381998729e-79
"FXYD6",9.42297823194667e-83,0.634005286024956,0.586,0.279,1.4942958880221e-78
"IGFBP2",3.13007615136724e-82,-1.05045266678221,0.055,0.383,4.96367476083817e-78
"ZFP36L1",5.39034360978948e-81,-1.55590810924722,0.056,0.372,8.54800689640415e-77
"GCH1",7.70052964560582e-79,0.765683416110274,0.652,0.364,1.22114999120017e-74
"RPS17",2.52401341615124e-78,-0.492500895458133,0.992,0.998,4.00258047533263e-74
"RPS16",4.48848035517892e-77,-0.504955839423914,0.988,0.997,7.11783214724272e-73
"ENO1",3.14326305798625e-76,-0.733614775432276,0.767,0.896,4.9845865573546e-72
"RPS8",3.27283634518281e-76,-0.433865611869876,1,0.999,5.19006387619091e-72
"TMOD1",1.02457411578818e-75,0.548629654010784,0.773,0.467,1.6247696328169e-71
"RPLP1",1.30861323251499e-75,-0.452335644995529,1,0.999,2.07519886412227e-71
"SERPINA1",1.67248904106685e-75,1.0365481279393,0.743,0.41,2.65223312132381e-71
"RPL28",5.72085418792837e-75,-0.496617876249104,0.986,0.996,9.07213057121681e-71
"KCNJ8",5.84527387430126e-75,0.331324302511588,0.261,0.074,9.26943530986694e-71
"EGR1",9.56426486526322e-75,0.733217747708069,0.72,0.428,1.51670112233344e-70
"PTPRN",2.84584693568654e-74,0.544772653762328,0.94,0.602,4.51294407061172e-70
"ECEL1",4.79861476324136e-74,0.603675355790791,0.179,0.037,7.60964329154815e-70
"TUBA1C",1.99810080533303e-73,-0.898035509210885,0.213,0.522,3.16858825709712e-69
"SMOC1",6.52462148297676e-73,0.547349901733472,0.562,0.27,1.03467447477045e-68
"UCHL1",2.19616395284775e-72,0.538047229707006,0.849,0.506,3.48267679642596e-68
"NPHP4",2.52967090520799e-71,0.306530787158216,0.227,0.06,4.01155212147884e-67
"PDLIM4",5.22716249321514e-71,0.410503308432603,0.44,0.184,8.28923428174056e-67
"SAMD5",6.31305443555012e-71,0.261946429816416,0.19,0.043,1.00112417238954e-66
"CALY",1.05899246053015e-70,0.485838402586847,0.525,0.243,1.67935024390871e-66
"PRKACB",1.3415783552536e-70,0.396228284196026,0.369,0.142,2.12747495576116e-66
"ITM2C",1.75547786639277e-69,0.556846412884739,0.544,0.279,2.78383680052565e-65
"SSTR1",3.08635852645214e-69,0.401159497539372,0.3,0.099,4.89434735124781e-65
"RPS28",3.85323321997921e-69,-0.414683857944476,0.997,0.999,6.11045724024303e-65
"RPL29",1.09182233002141e-68,-0.640512424452246,0.89,0.956,1.73141185094795e-64
"PSIP1",6.71996268501877e-68,0.315260214726463,0.283,0.092,1.06565168259028e-63
"EEF1A1",1.39090827271309e-66,-0.444333525034072,1,1,2.20570233886842e-62
"YBX3",1.57023972128938e-66,-0.762198533409448,0.03,0.302,2.49008615002071e-62
"PLAC8",6.42643364026322e-66,0.308269880843982,0.226,0.064,1.01910384667294e-61
"PPIA",8.59888436965835e-66,-0.541380497902952,0.868,0.95,1.36361108334042e-61
"ANXA11",2.77384248686509e-65,-0.631441749283817,0.399,0.672,4.39875941567066e-61
"UBA52",1.01287409488356e-64,-0.454799079669387,0.971,0.99,1.60621573966635e-60
"MEIS2",2.18330709858077e-64,0.599212411062228,0.523,0.268,3.46228839692939e-60
"IL32",2.3074373382022e-64,-1.99173531510845,0.059,0.324,3.65913413092105e-60
"RPSA",3.14136262409682e-64,-0.50406517976898,0.981,0.995,4.98157284929274e-60
"LDHB",9.20121765123871e-64,-0.605516169299505,0.027,0.29,1.45912909513344e-59
"RPL8",2.89711026451418e-63,-0.399597440930939,0.999,0.999,4.59423745746658e-59
"RPL13",2.9074896088677e-63,-0.3948542449238,0.999,0.999,4.61069702174239e-59
"CD44",8.64239940820835e-63,-1.58019756440436,0.163,0.423,1.37051169815368e-58
"RPL27",1.38986693033733e-62,-0.480133978727832,0.965,0.982,2.20405097812894e-58
"RPL37",1.30916395483966e-61,-0.420301066952428,0.983,0.994,2.07607219958473e-57
"CDC42EP1",1.99571681089507e-61,-0.739421011451674,0.009,0.258,3.1648077187174e-57
"ANGPTL4",3.13058360104467e-61,-1.14684893212658,0.021,0.274,4.96447947453664e-57
"EDN3",3.91717555821887e-61,0.679601289815769,0.376,0.157,6.21185700022348e-57
"NDRG1",9.05596019883578e-61,-1.02684590083216,0.157,0.44,1.43609416833138e-56
"SORL1",5.56932732287422e-60,0.393013549230649,0.516,0.25,8.83183926861394e-56
"PEMT",1.11031439084745e-59,-1.10533382631843,0.519,0.655,1.76073656100588e-55
"HIGD1A",1.7413928828046e-58,-0.512206440977232,0.115,0.391,2.76150083355153e-54
"PKIB",2.39602292689106e-58,0.36766997445868,0.363,0.15,3.79961315746384e-54
"FTH1",3.07847690187319e-58,-0.697735322070882,0.998,0.998,4.8818486709905e-54
"PTMA",5.74087576691418e-58,-0.689133648707433,0.913,0.953,9.10388079117251e-54
"SLC6A4",1.19859069120221e-57,0.275672769658877,0.142,0.03,1.90072511810847e-53
"RPS7",6.67994959767013e-57,-0.413482690359193,0.992,0.997,1.05930640719853e-52
"EEF1D",1.35050884406885e-56,-0.692956954895291,0.404,0.628,2.14163692492438e-52
"PCBP1",3.99862755773018e-56,-0.527671942354716,0.753,0.885,6.34102358104851e-52
"PAK3",4.03488858188993e-56,0.516158445342532,0.561,0.316,6.39852631316106e-52
"MSN",2.55070443269958e-55,-0.642920208949047,0.03,0.268,4.044907089375e-51
"GNB2L1",3.07775369412128e-55,-0.468290392305168,0.954,0.982,4.88070180813753e-51
"GAS5",6.56506238803766e-55,-0.718603625968582,0.405,0.631,1.04108759349501e-50
"SNAP25",8.38177523676573e-55,0.458018347477278,0.481,0.243,1.32918191704631e-50
"RPS14",1.61251092325506e-54,-0.360589733003905,1,0.999,2.55711982209788e-50
"SVOP",5.13862939806039e-54,0.258862290666132,0.218,0.068,8.14883849944416e-50
"RPL26",7.67465625728474e-53,-0.401231084082811,0.989,0.997,1.21704698928021e-48
"IRX2",8.06857013686865e-53,-0.816694909219636,0.028,0.257,1.27951385230463e-48
"UNC5B",1.44234961893421e-52,0.296179948844356,0.289,0.107,2.28727802570587e-48
"COTL1",2.20473654134193e-52,-0.659463430104528,0.105,0.359,3.49627120726003e-48
"MDK",2.45287838135098e-52,0.420470137765851,0.697,0.447,3.88977453714638e-48
"BACE2",3.94787521254223e-52,-0.635530281643081,0.057,0.294,6.26054051204947e-48
"PDLIM1",8.78418639509551e-52,-0.569537516612028,0.152,0.413,1.39299627853425e-47
"RPL35",9.83960642634335e-52,-0.474656336034363,0.972,0.985,1.56036478708953e-47
"RPS6",2.46155180900589e-51,-0.413273920038235,0.997,0.998,3.90352885872154e-47
"TPT1",2.543506709378e-51,-0.422474901549352,0.999,0.999,4.03349293973163e-47
"RPS5",4.55315951907946e-51,-0.470905928209666,0.984,0.99,7.2204003653562e-47
"NR0B1",6.64385584901559e-51,0.293958297356239,0.239,0.081,1.05358266053689e-46
"SERPINA3",8.52612861838991e-51,-3.32643903502182,0.093,0.319,1.35207347630427e-46
"IFITM2",1.41414873527353e-50,-0.931547463745512,0.046,0.273,2.24255706439676e-46
"C12orf75",1.53687411149031e-50,-0.563421498844249,0.239,0.501,2.43717496600133e-46
"CPE",2.46266633863865e-50,0.549929581327271,0.994,0.748,3.90529627981317e-46
"RPS9",5.24683317081277e-50,-0.388258993505755,0.994,0.998,8.32042804227489e-46
"RPL36",1.21177264758211e-49,-0.444792781357922,0.979,0.985,1.92162906453571e-45
"RPL23",5.96421118380101e-49,-0.398281895750012,0.991,0.997,9.45804609527163e-45
"FXYD5",1.1111870977524e-48,-0.867353225272339,0.154,0.395,1.76212049961576e-44
"RPS12",1.57579687879662e-48,-0.453833441048087,0.998,0.999,2.49889869039568e-44
"S100A11",1.76256295278918e-48,-1.17969141148032,0.602,0.726,2.79507233053308e-44
"ACSL1",2.28734183552369e-48,0.520279543505858,0.372,0.177,3.62726668277347e-44
"RPS15A",3.14814931503593e-48,-0.359093269071513,0.983,0.992,4.99233518378398e-44
