"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ALDH1A1",0,1.89565706660202,0.907,0.478,0
"ARX",0,0.81896286012705,0.444,0.031,0
"ATP5E",0,0.755074557937726,0.99,0.911,0
"B2M",0,0.785655987247007,1,0.975,0
"CALY",0,0.995804739283321,0.569,0.163,0
"CD99",0,1.50375028897357,0.995,0.746,0
"CHGA",0,1.06303453330662,0.998,0.63,0
"CHGB",0,1.51677338337972,0.976,0.585,0
"CLU",0,2.67759763828361,0.997,0.67,0
"COTL1",0,0.999921367924794,0.632,0.221,0
"CRYBA2",0,1.61903514905035,0.533,0.101,0
"CST3",0,1.06110120071256,0.989,0.865,0
"CYSTM1",0,1.13177353589686,0.969,0.742,0
"EMC10",0,0.971667981350782,0.911,0.584,0
"F10",0,1.03540742566978,0.578,0.039,0
"FEV",0,1.23547181790875,0.584,0.045,0
"FXYD3",0,1.02838421263876,0.485,0.083,0
"FXYD5",0,1.60532806515659,0.691,0.251,0
"GC",0,1.97908088227347,0.845,0.047,0
"GCG",0,6.63977593901988,0.998,0.621,0
"GLS",0,1.11243964263098,0.686,0.253,0
"GPX3",0,1.87200801869604,0.974,0.461,0
"HADH",0,-1.37111599492297,0.037,0.48,0
"HLA.A",0,1.00030298714626,0.999,0.881,0
"IGFBP2",0,1.26687658121375,0.656,0.235,0
"IRX2",0,1.81404449385492,0.784,0.029,0
"KCTD12",0,1.00095814226806,0.511,0.096,0
"LOXL4",0,1.76900717972928,0.405,0.03,0
"MUC13",0,2.28706346796983,0.654,0.095,0
"PALLD",0,1.24776675834418,0.66,0.259,0
"PAPPA2",0,0.96074759029087,0.524,0.067,0
"PCSK1N",0,1.11589688045199,1,0.665,0
"PCSK2",0,2.17212835846537,0.948,0.41,0
"PDK4",0,2.06251294151125,0.716,0.312,0
"PLD3",0,0.893261667591076,0.918,0.604,0
"RGS4",0,1.64345958481503,0.734,0.151,0
"RNASEK",0,1.22658908146359,0.997,0.909,0
"SCG5",0,1.30895901008909,0.994,0.64,0
"SERPINA1",0,1.46809566831458,0.771,0.323,0
"SLC22A17",0,1.03283805461811,0.772,0.363,0
"SLC7A2",0,1.48365407635662,0.886,0.401,0
"SMIM24",0,1.13234596373087,0.515,0.052,0
"SMOC1",0,1.07112450194064,0.629,0.179,0
"SPINT2",0,1.22888237179875,0.982,0.808,0
"TIMP2",0,-1.38389871909513,0.068,0.591,0
"TM4SF4",0,2.55504224624441,0.836,0.187,0
"TMEM176A",0,1.84163880647928,0.928,0.333,0
"TMEM176B",0,1.95400993882789,0.945,0.352,0
"TTR",0,4.8575763288354,1,0.679,0
"VGF",0,2.13569351978342,0.978,0.501,0
"VSTM2L",0,1.00454592074844,0.495,0.039,0
"C5orf38",3.99129051177624e-307,0.379248588080656,0.229,0.004,6.32938849357476e-303
"CAMK2G",1.88607015637671e-305,1.08816857810615,0.5,0.143,2.99093005398219e-301
"DPP4",9.37395731931194e-298,0.395521604882174,0.232,0.007,1.48652215169649e-293
