"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AADAC",0,0.893188118767058,0.345,0.003,0
"ACTG1",0,1.67087555349581,1,0.969,0
"AGTRAP",0,1.0999582980222,0.663,0.147,0
"AKR1C3",0,1.42925648431203,0.663,0.059,0
"AKR7A3",0,0.548172956829207,0.338,0.014,0
"ALB",0,1.77187298074641,0.417,0.011,0
"ALDOB",0,2.65515362050079,0.673,0.019,0
"AMY2A",0,1.45758785887134,0.461,0.003,0
"ANPEP",0,2.31884008733733,0.828,0.038,0
"ATP4A",0,0.376957783457398,0.2,0.001,0
"AZGP1",0,0.85202562472215,0.547,0.01,0
"BAIAP2L1",0,0.85808173095647,0.667,0.14,0
"BCAT1",0,0.874194586240242,0.502,0.011,0
"CA12",0,1.18628831748085,0.483,0.034,0
"CASP4",0,0.719155954869755,0.595,0.113,0
"CD24",0,1.89880366346915,0.965,0.352,0
"CD44",0,2.58499936038244,0.989,0.303,0
"CD99",0,-2.33979332543587,0.315,0.892,0
"CDC42EP1",0,0.84847693019207,0.723,0.155,0
"CEL",0,1.28833653830459,0.543,0.005,0
"CELA2A",0,5.20325605206791,0.9,0.061,0
"CELA2B",0,2.31438086374231,0.697,0.008,0
"CELA3A",0,6.82168601029298,0.954,0.204,0
"CELA3B",0,5.88844350786858,0.938,0.1,0
"CHGA",0,-3.32026524742474,0.09,0.83,0
"CHGB",0,-3.18851752815754,0.061,0.789,0
"CLPS",0,5.88960724544782,0.907,0.116,0
"COX8A",0,-1.38172745998175,0.565,0.942,0
"CPA1",0,6.07508259939361,0.968,0.138,0
"CPA2",0,4.31409380573527,0.962,0.043,0
"CPA4",0,0.841724226135233,0.293,0.011,0
"CPB1",0,5.0414869339383,0.942,0.102,0
"CPE",0,-3.29070953966707,0.101,0.879,0
"CPM",0,0.573550097892978,0.396,0.029,0
"CTRB1",0,6.79183556920838,0.993,0.194,0
"CTRB2",0,6.73127359903743,0.992,0.266,0
"CTRC",0,4.28463239317517,0.92,0.047,0
"CTRL",0,1.72796965126368,0.702,0.006,0
"CUZD1",0,3.22110429869748,0.759,0.018,0
"CXCL12",0,0.59183209082504,0.243,0.008,0
"CXCL17",0,0.908131017052662,0.435,0.006,0
"DEFB1",0,0.831218599146773,0.535,0.07,0
"DPEP1",0,0.64023130624221,0.457,0.022,0
"EEF1A1",0,0.864514907222004,1,1,0
"EEF1B2",0,1.25851899502744,0.995,0.903,0
"EEF1D",0,1.29963627331204,0.954,0.55,0
"F3",0,1.5205519177772,0.556,0.117,0
"FAM129A",0,0.543451408898878,0.389,0.027,0
"FOXD2",0,1.89738108300035,0.715,0.019,0
"FTH1",0,1.18029900914003,1,0.998,0
"G0S2",0,1.95496569695019,0.528,0.086,0
"GALNT2",0,0.923381346217607,0.706,0.193,0
"GAS5",0,1.42575870715197,0.942,0.555,0
"GATM",0,1.49905398258613,0.741,0.079,0
"GDF15",0,2.28741615595248,0.827,0.212,0
"GJB1",0,0.600233506936411,0.395,0.039,0
"GNAS",0,-3.16941538903065,0.587,0.993,0
"GP2",0,2.96329027124043,0.767,0.017,0
"GSTA1",0,1.41734538925514,0.487,0.018,0
"GSTA2",0,1.41944079712941,0.531,0.012,0
