"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZFP36L1",0,1.79447636707675,0.906,0.273,0
"PIEZO1",1.45765076688953e-306,0.648896713198885,0.4,0.043,2.31154258613342e-302
"ITGB6",6.40521948336634e-306,0.847937031788953,0.445,0.058,1.01573970567223e-301
"ITGA5",1.6719886649212e-304,0.769124468825951,0.543,0.084,2.65143962483205e-300
"LY6E",1.68726512567976e-304,0.990566427508355,0.569,0.108,2.67566503630296e-300
"CD74",4.12007135640819e-303,1.37992059910675,0.584,0.118,6.5336091569921e-299
"ACTN4",3.48525273901015e-302,1.56223086760945,0.965,0.68,5.5269137935223e-298
"TYMP",6.01370860117081e-302,1.10567804518505,0.588,0.12,9.53653909973667e-298
"SLC3A1",7.64781727968533e-302,0.491434840467369,0.2,0.003,1.2127908642125e-297
"CDH3",8.43011089112943e-302,0.533985371830875,0.265,0.012,1.3368469851153e-297
"SPINT1",4.44183132789996e-299,1.35213336357989,0.853,0.365,7.04385611978375e-295
"FSTL3",1.03665985424038e-298,0.849967491768244,0.441,0.058,1.6439351968544e-294
"ELF3",1.2664173125123e-298,1.70444278766965,0.906,0.425,2.00828457418201e-294
"AMBP",7.67924326810193e-297,1.32668492107593,0.392,0.045,1.2177743974556e-292
"SLC34A2",6.36412424848081e-296,0.431412753574407,0.187,0.001,1.00922282332409e-291
"HES4",3.17074013085501e-293,0.81552838387724,0.551,0.1,5.02815969950987e-289
"TGFB2",3.75460114591014e-292,0.533643858906196,0.25,0.011,5.95404649718429e-288
"DEFB1",6.36847524410561e-287,1.1287781704326,0.514,0.088,1.00991280421027e-282
"UCA1",3.16750730949129e-286,0.80210752767733,0.22,0.007,5.02303309139129e-282
"ITGB1",7.46152676741633e-285,1.52976159765185,0.968,0.741,1.18324891477688e-280
"LAMA3",3.8238324296795e-284,0.346440072771467,0.208,0.005,6.06383346698574e-280
"SEPT9",1.28481722149898e-281,1.02338229765556,0.709,0.198,2.03746314985309e-277
"SEMA7A",2.20083070346924e-281,1.07627482327875,0.39,0.047,3.49007732956152e-277
"HLA.B",2.89845116494183e-280,1.60201482834724,0.994,0.794,4.59636385736476e-276
"SCG5",3.57899347540587e-280,-2.71821691963134,0.211,0.796,5.67556785329862e-276
"ZC3H12A",1.48993850664622e-279,0.975632907159165,0.517,0.093,2.36274448383958e-275
"CMTM7",1.90848308030061e-278,0.65046665370061,0.399,0.05,3.02647246874071e-274
"PAQR5",7.32925953520953e-278,0.382856434939854,0.237,0.01,1.16227397709353e-273
"TMEM63A",1.63242116012054e-277,0.528867625509858,0.36,0.038,2.58869347571915e-273
"CCND1",1.69473312300662e-277,1.07912220615073,0.516,0.098,2.68750778646391e-273
"FNDC4",2.89779760008273e-277,0.75197202159993,0.48,0.079,4.59532743421119e-273
"PPP1R1B",1.26093298371432e-276,0.396856949558869,0.181,0.002,1.99958752557416e-272
"PCSK1N",2.99571256073519e-276,-2.98255475226483,0.279,0.811,4.75060097881386e-272
"RHOV",1.59008718355331e-275,0.598431646215897,0.308,0.025,2.52156025567883e-271
"DAB2IP",4.19352731807546e-275,0.745688768112751,0.485,0.081,6.65009562100407e-271
"S100A6",1.01979515398576e-274,1.90613248886611,0.974,0.706,1.61719115519062e-270
"SLC44A2",2.91774354217331e-274,0.774049445628337,0.489,0.083,4.62695770917843e-270
"MYZAP",4.4584855397827e-274,0.509217275726219,0.309,0.025,7.0702663689874e-270
"KLF5",3.31800008759954e-273,0.591721152518113,0.363,0.04,5.26168453891535e-269
"KLF6",1.47482784447239e-269,1.51274420171535,0.846,0.344,2.33878199576432e-265
"IL32",5.72265590631632e-268,0.713700705346352,0.846,0.232,9.07498773623641e-264
"LIPH",1.17513304381345e-267,0.563103851137127,0.358,0.039,1.86352598087937e-263
"NTN4",2.66957710797633e-267,0.523215200117182,0.313,0.027,4.23341537782886e-263
"RGMA",3.70943804922633e-267,0.333810466975969,0.191,0.004,5.88242685846312e-263
"CXADR",4.23348847430647e-267,0.809594773585875,0.489,0.088,6.71346602255521e-263
"ST14",7.15540300356456e-266,1.20244141098396,0.834,0.355,1.13470380830527e-261
"HMGA1",6.34242096524206e-265,1.79968753214765,0.807,0.359,1.00578111666809e-260
"TNC",6.06787082792728e-263,0.826762388451016,0.276,0.02,9.62242955892708e-259
"AREG",6.12832946248315e-263,0.674771479570111,0.231,0.011,9.71830486160578e-259
"SPTBN1",8.99240334873102e-261,1.22722819749427,0.829,0.348,1.42601532304176e-256
"MYRF",1.5272432381628e-260,0.942477900464694,0.61,0.152,2.42190232707857e-256
"MARCKSL1",1.97093104305088e-260,1.1002841108907,0.708,0.211,3.12550244807008e-256
"NOTCH2",7.74365537019062e-260,0.570551789321722,0.374,0.045,1.22798886860483e-255
"CPE",7.7106869249883e-258,-2.8775069607504,0.387,0.819,1.22276073256465e-253
"VNN2",1.30402986029978e-257,0.520797464263643,0.223,0.01,2.0679305524634e-253
"FERMT1",2.0912039726524e-256,0.444182578539746,0.197,0.006,3.31623125983218e-252
"SLC2A1",7.85801205492964e-256,0.961466277801256,0.513,0.103,1.24612355167074e-251
"SAT1",2.66476149853848e-254,1.64094692985594,0.941,0.524,4.22577878438232e-250
"B4GALT5",2.93168448698975e-254,0.89634585572019,0.585,0.142,4.64906525946834e-250
"TNFRSF12A",4.39755001313186e-254,1.472560693101,0.893,0.477,6.97363481082451e-250
"TRIP6",1.07605697779159e-251,0.649622448288566,0.435,0.07,1.70641115538191e-247
"CHGA",1.99461687059187e-251,-3.11994698351177,0.257,0.785,3.16306343338459e-247
"MPST",2.67634111145218e-251,0.757570568979096,0.594,0.141,4.24414173454087e-247
"DCDC2",7.36680700700241e-251,0.644497303864958,0.372,0.049,1.16822825517044e-246
"PPIC",7.14604221349626e-250,0.699427639995825,0.494,0.094,1.13321937421624e-245
"AMOTL2",4.33137957219967e-249,0.531955999476021,0.276,0.022,6.86870172559424e-245
"PROSER2",6.86344029531953e-249,0.437422810454755,0.257,0.018,1.08840436203177e-244
